movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt12262116,Thirteen Lives,2022,PG-13,147 min,"Action, Adventure, Biography",7.8,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,Ron Howard,/name/nm0000165/,"Viggo Mortensen, 
Colin Farrell, 
Joel Edgerton, 
Tom Bateman","/name/nm0001557/,/name/nm0268199/,/name/nm0249291/,/name/nm5290643/",56918.0,
tt3758172,Jungle,2017,R,115 min,"Action, Adventure, Biography",6.7,"A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be.",Greg McLean,/name/nm0572562/,"Daniel Radcliffe, 
Thomas Kretschmann, 
Alex Russell, 
Joel Jackson","/name/nm0705356/,/name/nm0470981/,/name/nm3887625/,/name/nm6567671/",58681.0,
tt2719848,Everest,2015,PG-13,121 min,"Action, Adventure, Biography",7.1,"The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10;1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",Baltasar Kormákur,/name/nm0466349/,"Jason Clarke, 
Ang Phula Sherpa, 
Thomas M. Wright, 
Martin Henderson","/name/nm0164809/,/name/nm7583273/,/name/nm0942876/,/name/nm0376540/",221462.0,43482270.0
tt1390411,In the Heart of the Sea,2015,PG-13,122 min,"Action, Adventure, Biography",6.9,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",Ron Howard,/name/nm0000165/,"Chris Hemsworth, 
Cillian Murphy, 
Brendan Gleeson, 
Ben Whishaw","/name/nm1165110/,/name/nm0614165/,/name/nm0322407/,/name/nm0924210/",141706.0,25020758.0
tt0111756,Wyatt Earp,1994,PG-13,191 min,"Action, Adventure, Biography",6.7,"From Wichita to Dodge City, to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure, and desperate heroic action.",Lawrence Kasdan,/name/nm0001410/,"Kevin Costner, 
Dennis Quaid, 
Gene Hackman, 
David Andrews","/name/nm0000126/,/name/nm0000598/,/name/nm0000432/,/name/nm0028625/",52388.0,25052000.0
tt6306064,Adrift,2018,PG-13,96 min,"Action, Adventure, Biography",6.6,"A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",Baltasar Kormákur,/name/nm0466349/,"Shailene Woodley, 
Sam Claflin, 
Jeffrey Thomas, 
Elizabeth Hawthorne","/name/nm0940362/,/name/nm3510471/,/name/nm0859005/,/name/nm0370411/",58136.0,31445012.0
tt0317648,Hidalgo,2004,PG-13,136 min,"Action, Adventure, Biography",6.7,"In 1890, a down-and-out cowboy and his horse travel to Arabia to compete in a deadly cross desert horse race.",Joe Johnston,/name/nm0002653/,"Viggo Mortensen, 
Omar Sharif, 
Zuleikha Robinson, 
Louise Lombard","/name/nm0001557/,/name/nm0001725/,/name/nm0733196/,/name/nm0518321/",83306.0,67286731.0
tt0068182,"Aguirre, the Wrath of God",1972,Not Rated,95 min,"Action, Adventure, Biography",7.8,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Werner Herzog,/name/nm0001348/,"Klaus Kinski, 
Ruy Guerra, 
Helena Rojo, 
Del Negro","/name/nm0001428/,/name/nm0346087/,/name/nm0737928/,/name/nm0215683/",58335.0,
tt1613750,Kon-Tiki,2012,PG-13,118 min,"Action, Adventure, Biography",7.2,"Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.","Joachim Rønning, 
Espen Sandberg",/name/nm1461392/,"Pål Sverre Hagen, 
Anders Baasmo, 
Gustaf Skarsgård, 
Odd-Magnus Williamson","/name/nm1650283/,/name/nm1914298/,/name/nm0471601/,/name/nm0803890/,/name/nm2322351/",49972.0,1517410.0
tt0277941,Ned Kelly,2003,R,110 min,"Action, Adventure, Biography",6.4,An innocent man becomes one of the most wanted criminals the world has ever known.,Gregor Jordan,/name/nm0429964/,"Heath Ledger, 
Orlando Bloom, 
Geoffrey Rush, 
Naomi Watts","/name/nm0005132/,/name/nm0089217/,/name/nm0001691/,/name/nm0915208/",27421.0,74864.0
