movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt11291274,The Unbearable Weight of Massive Talent,2022,R,107 min,"Action, Comedy, Crime",7.0,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Tom Gormican,/name/nm3230448/,"Nicolas Cage, 
Pedro Pascal, 
Tiffany Haddish, 
Sharon Horgan","/name/nm0000115/,/name/nm0050959/,/name/nm1840504/,/name/nm1279721/",97887.0,
tt15600222,An Action Hero,2022,,130 min,"Action, Comedy, Crime",7.2,"Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.",Anirudh Iyer,/name/nm5518137/,"Ayushmann Khurrana, 
Jaideep Ahlawat, 
Neeraj Madhav, 
Gautam Joglekar","/name/nm4731677/,/name/nm4188433/,/name/nm6697626/,/name/nm1194981/",24628.0,
tt8367814,The Gentlemen,2019,R,113 min,"Action, Comedy, Crime",7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Guy Ritchie,/name/nm0005363/,"Matthew McConaughey, 
Charlie Hunnam, 
Michelle Dockery, 
Jeremy Strong","/name/nm0000190/,/name/nm0402271/,/name/nm1890784/,/name/nm0834989/",348209.0,36471795.0
tt12003946,Violent Night,2022,R,112 min,"Action, Comedy, Crime",6.7,"When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).",Tommy Wirkola,/name/nm2482088/,"David Harbour, 
John Leguizamo, 
Beverly D'Angelo, 
Alex Hassell","/name/nm1092086/,/name/nm0000491/,/name/nm0000350/,/name/nm1307435/",61464.0,
tt1618434,Murder Mystery,2019,PG-13,97 min,"Action, Comedy, Crime",6.0,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",Kyle Newacheck,/name/nm1760830/,"Adam Sandler, 
Jennifer Aniston, 
Luke Evans, 
Terence Stamp","/name/nm0001191/,/name/nm0000098/,/name/nm1812656/,/name/nm0000654/",134200.0,
tt15255288,Murder Mystery 2,2023,PG-13,,"Action, Comedy, Crime",,"Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja, is kidnapped at his own lavish wedding.",Jeremy Garelick,/name/nm1275670/,"Adam Sandler, 
Jennifer Aniston, 
Mark Strong, 
Mélanie Laurent","/name/nm0001191/,/name/nm0000098/,/name/nm0835016/,/name/nm0491259/",,
tt1469304,Baywatch,2017,R,116 min,"Action, Comedy, Crime",5.5,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Seth Gordon,/name/nm1164861/,"Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas","/name/nm0425005/,/name/nm1374980/,/name/nm1275259/,/name/nm1231899/",190473.0,58060186.0
tt14641788,Enola Holmes 2,2022,PG-13,129 min,"Action, Adventure, Crime",6.7,"Now a detective-for-hire, Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends - and Sherlock himself - to unravel.",Harry Bradbeer,/name/nm0102873/,"Millie Bobby Brown, 
Henry Cavill, 
David Thewlis, 
Louis Partridge","/name/nm5611121/,/name/nm0147147/,/name/nm0000667/,/name/nm6273024/",77786.0,
tt5688068,Above Suspicion,2019,R,104 min,"Action, Biography, Crime",5.7,The true-crime story leading to the first-ever conviction of an F.B.I. Agent for murder.,Phillip Noyce,/name/nm0637518/,"Emilia Clarke, 
Jack Huston, 
Sophie Lowe, 
Johnny Knoxville","/name/nm3592338/,/name/nm1658935/,/name/nm2998321/,/name/nm0424216/",6568.0,
tt1232829,21 Jump Street,2012,R,109 min,"Action, Comedy, Crime",7.2,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,"Phil Lord, 
Christopher Miller",/name/nm0520488/,"Jonah Hill, 
Channing Tatum, 
Ice Cube, 
Brie Larson","/name/nm0588087/,/name/nm1706767/,/name/nm1475594/,/name/nm0001084/,/name/nm0488953/",566332.0,138447667.0
