movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt9114286,Black Panther: Wakanda Forever,2022,PG-13,161 min,"Action, Adventure, Drama",6.9,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,Ryan Coogler,/name/nm3363032/,"Letitia Wright, 
Lupita Nyong'o, 
Danai Gurira, 
Winston Duke","/name/nm4004793/,/name/nm2143282/,/name/nm1775091/,/name/nm6328300/",204835.0,
tt1745960,Top Gun: Maverick,2022,PG-13,130 min,"Action, Drama",8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Joseph Kosinski,/name/nm2676052/,"Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer","/name/nm0000129/,/name/nm0000124/,/name/nm1886602/,/name/nm0000174/",526016.0,
tt12844910,Pathaan,2023,Not Rated,146 min,"Action, Adventure, Drama",6.6,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.,Siddharth Anand,/name/nm1893457/,"Shah Rukh Khan, 
Deepika Padukone, 
John Abraham, 
Dimple Kapadia","/name/nm0451321/,/name/nm2138653/,/name/nm1303433/,/name/nm0438092/",120080.0,
tt1877830,The Batman,2022,PG-13,176 min,"Action, Crime, Drama",7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,/name/nm0716257/,"Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell","/name/nm1500155/,/name/nm2368789/,/name/nm0942482/,/name/nm0268199/",672146.0,
tt0092099,Top Gun,1986,PG,109 min,"Action, Drama",6.9,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Tony Scott,/name/nm0001716/,"Tom Cruise, 
Tim Robbins, 
Kelly McGillis, 
Val Kilmer","/name/nm0000129/,/name/nm0000209/,/name/nm0000534/,/name/nm0000174/",461419.0,179800601.0
tt13539646,The Wandering Earth II,2023,,173 min,"Action, Adventure, Drama",8.0,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",Frant Gwo,/name/nm4914792/,"Andy Lau, 
Zina Blahusova, 
Jing Wu, 
Clara Lee","/name/nm0490489/,/name/nm1927842/,/name/nm0943104/,/name/nm4788761/",7081.0,
tt11138512,The Northman,2022,R,137 min,"Action, Adventure, Drama",7.1,A young Viking prince is on a quest to avenge his father's murder.,Robert Eggers,/name/nm3211470/,"Alexander Skarsgård, 
Nicole Kidman, 
Claes Bang, 
Ethan Hawke","/name/nm0002907/,/name/nm0000173/,/name/nm0051903/,/name/nm0000160/",217036.0,
tt1160419,Dune,2021,PG-13,155 min,"Action, Adventure, Drama",8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,/name/nm0898288/,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac","/name/nm3154303/,/name/nm0272581/,/name/nm3918035/,/name/nm1209966/",649342.0,108327830.0
tt8178634,RRR,2022,Not Rated,187 min,"Action, Adventure, Drama",7.9,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,S.S. Rajamouli,/name/nm1442514/,"N.T. Rama Rao Jr., 
Ram Charan Teja, 
Ajay Devgn, 
Alia Bhatt","/name/nm1694524/,/name/nm2776304/,/name/nm0222426/,/name/nm1017633/",135454.0,
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,/name/nm0001392/,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean","/name/nm0000704/,/name/nm0005212/,/name/nm0089217/,/name/nm0000293/",1889727.0,315544750.0
tt0468569,The Dark Knight,2008,PG-13,152 min,"Action, Crime, Drama",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,/name/nm0634240/,"Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine","/name/nm0000288/,/name/nm0005132/,/name/nm0001173/,/name/nm0000323/",2675531.0,534858444.0
tt0172495,Gladiator,2000,R,155 min,"Action, Adventure, Drama",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,/name/nm0000631/,"Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed","/name/nm0000128/,/name/nm0001618/,/name/nm0001567/,/name/nm0001657/",1512747.0,187705427.0
tt4154796,Avengers: Endgame,2019,PG-13,181 min,"Action, Adventure, Drama",8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, 
Joe Russo",/name/nm0751577/,"Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth","/name/nm0751648/,/name/nm0000375/,/name/nm0262635/,/name/nm0749263/,/name/nm1165110/",1148100.0,858373000.0
tt12261776,65,2023,,,"Action, Adventure, Drama",,An astronaut crash lands on a mysterious planet only to discover he's not alone.,"Scott Beck, 
Bryan Woods",/name/nm1399714/,"Adam Driver, 
Ariana Greenblatt, 
Chloe Coleman, 
Nika King","/name/nm1456816/,/name/nm3485845/,/name/nm7567556/,/name/nm5668548/,/name/nm1519739/",,
