movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0373889,Harry Potter and the Order of the Phoenix,2007,PG-13,138 min,"Action, Adventure, Family",7.5,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,/name/nm0946734/,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Brendan Gleeson","/name/nm0705356/,/name/nm0914612/,/name/nm0342488/,/name/nm0322407/",590824.0,292004738.0
tt0417741,Harry Potter and the Half-Blood Prince,2009,PG,153 min,"Action, Adventure, Family",7.6,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates,/name/nm0946734/,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon","/name/nm0705356/,/name/nm0914612/,/name/nm0342488/,/name/nm0002091/",554044.0,301959197.0
tt0087538,The Karate Kid,1984,PG,126 min,"Action, Drama, Family",7.3,A martial arts master agrees to teach karate to a bullied teenager.,John G. Avildsen,/name/nm0000814/,"Ralph Macchio, 
Pat Morita, 
Elisabeth Shue, 
Martin Kove","/name/nm0001494/,/name/nm0001552/,/name/nm0000223/,/name/nm0184392/",229753.0,90815558.0
tt0938283,The Last Airbender,2010,PG,103 min,"Action, Adventure, Family",4.0,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",M. Night Shyamalan,/name/nm0796117/,"Noah Ringer, 
Nicola Peltz Beckham, 
Jackson Rathbone, 
Dev Patel","/name/nm3226241/,/name/nm2443758/,/name/nm1717152/,/name/nm2353862/",165846.0,131564731.0
tt0405325,Sky High,2005,PG,100 min,"Action, Comedy, Family",6.3,"Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",Mike Mitchell,/name/nm0593610/,"Kurt Russell, 
Kelly Preston, 
Michael Angarano, 
Danielle Panabaker","/name/nm0000621/,/name/nm0000593/,/name/nm0029400/,/name/nm1263939/",89209.0,63946815.0
tt1964418,Tomorrowland,2015,PG,130 min,"Action, Adventure, Family",6.4,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",Brad Bird,/name/nm0083348/,"George Clooney, 
Britt Robertson, 
Hugh Laurie, 
Raffey Cassidy","/name/nm0000123/,/name/nm1429380/,/name/nm0491402/,/name/nm3864163/",184720.0,93436322.0
tt1197627,National Treasure 3,2024,,,"Action, Adventure, Family",,The plot is unknown at this time.,Ray Gaspard,/name/nm0309210/,,,,
tt1155076,The Karate Kid,2010,PG,140 min,"Action, Drama, Family",6.2,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",Harald Zwart,/name/nm0958969/,"Jackie Chan, 
Jaden Smith, 
Taraji P. Henson, 
Wenwen Han","/name/nm0000329/,/name/nm1535523/,/name/nm0378245/,/name/nm3924219/",189127.0,176591618.0
tt0449010,Eragon,2006,PG,104 min,"Action, Adventure, Family",5.1,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",Stefen Fangmeier,/name/nm0266777/,"Ed Speleers, 
Sienna Guillory, 
Jeremy Irons, 
John Malkovich","/name/nm1968873/,/name/nm0347149/,/name/nm0000460/,/name/nm0000518/",127628.0,75030163.0
tt0499448,The Chronicles of Narnia: Prince Caspian,2008,PG,150 min,"Action, Adventure, Family",6.5,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",Andrew Adamson,/name/nm0011470/,"Ben Barnes, 
Skandar Keynes, 
Georgie Henley, 
William Moseley","/name/nm1602660/,/name/nm1342727/,/name/nm1670137/,/name/nm0608440/",214524.0,141621490.0
