movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0103855,The Bodyguard,1992,R,129 min,"Action, Drama, Music",6.3,"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's.",Mick Jackson,/name/nm0413875/,"Kevin Costner, 
Whitney Houston, 
Gary Kemp, 
Bill Cobbs","/name/nm0000126/,/name/nm0001365/,/name/nm0447290/,/name/nm0167850/",138662.0,121945720.0
tt0092549,Miami Connection,1987,R,87 min,"Action, Crime, Music",5.6,A martial arts rock band goes up against a band of motorcycle ninjas who have tightened their grip on Florida's narcotics trade.,"Woo-sang Park, 
Y.K. Kim",/name/nm0661919/,"Y.K. Kim, 
Vincent Hirsch, 
Joseph Diamand, 
Maurice Smith","/name/nm0453723/,/name/nm0453723/,/name/nm1687791/,/name/nm1693504/,/name/nm6234660/",6021.0,
tt1153706,Dance Flick,2009,PG-13,83 min,"Action, Comedy, Music",3.5,"Street dancer Thomas Uncles is from the wrong side of the tracks, but his bond with the beautiful Megan White might help the duo realize their dreams as they enter in the mother of all dance battles.",Damien Dante Wayans,/name/nm1349040/,"Marlon Wayans, 
Shawn Wayans, 
Shoshana Bush, 
Damon Wayans Jr.","/name/nm0005541/,/name/nm0915465/,/name/nm2104193/,/name/nm0915458/",12450.0,25615792.0
tt0072317,The Trial of Billy Jack,1974,PG,170 min,"Action, Drama, Music",4.5,"After Billy Jack in sentenced to four years in prison for the ""involuntary manslaughter"" of the first film, the Freedom School expands and flourishes under the guidance of Jean Roberts. The...                See full summary »",Tom Laughlin,/name/nm0490871/,"Tom Laughlin, 
Delores Taylor, 
Victor Izay, 
Teresa Kelly","/name/nm0490871/,/name/nm0852255/,/name/nm0412731/,/name/nm0446893/",1426.0,89000000.0
tt0275688,Snipes,2001,R,113 min,"Action, Drama, Music",5.5,"Erik is an ambitious teenager who spends more time posting fliers for his favorite rapper, Prolifik, than sitting in the classroom. When he and his best friend stumble across a dead body one night, they trigger a series of tragic events.",Rich Murray,/name/nm0615231/,"Sam Jones III, 
Nelly, 
Zoe Saldana, 
Dean Winters","/name/nm0427389/,/name/nm0625099/,/name/nm0757855/,/name/nm0935921/",422.0,70569.0
tt0033704,Hellzapoppin',1941,Approved,84 min,"Action, Comedy, Music",7.4,"Olsen and Johnson, a pair of stage comedians, try to turn their play into a movie and bring together a young couple in love, while breaking the fourth wall every step of the way.",H.C. Potter,/name/nm0693281/,"Ole Olsen, 
Chic Johnson, 
Martha Raye, 
Hugh Herbert","/name/nm0646337/,/name/nm0424765/,/name/nm0713106/,/name/nm0001890/",3246.0,
tt0033667,"Go West, Young Lady",1941,Passed,70 min,"Action, Comedy, Music",6.3,"Federal Marshall Tex Miller, and his girl-friend Belinda Pendergast are having problems with the masked bandid 'Pecos Pete'.",Frank R. Strayer,/name/nm0833965/,"Penny Singleton, 
Glenn Ford, 
Ann Miller, 
Charles Ruggles","/name/nm0802325/,/name/nm0001229/,/name/nm0587900/,/name/nm0749476/",372.0,
tt0031842,The Real Glory,1939,Approved,96 min,"Action, History, Music",6.5,A small American contingent tries to train rural tribesmen to defend themselves against fanatical Muslim radicals in 1906 Philippines.,Henry Hathaway,/name/nm0368871/,"Gary Cooper, 
David Niven, 
Andrea Leeds, 
Reginald Owen","/name/nm0000011/,/name/nm0000057/,/name/nm0498571/,/name/nm0654239/",1117.0,
tt0091351,Knights of the City,1986,R,87 min,"Action, Music",4.7,A street gang that is also a rap group tries to get a record contract.,Dominic Orlando,/name/nm0649983/,"Leon Isaac Kennedy, 
Nicholas Campbell, 
John Mengatti, 
Stoney Jackson","/name/nm0411531/,/name/nm0132757/,/name/nm0579561/,/name/nm0414064/",223.0,601451.0
tt1244666,Fish Story,2009,,113 min,"Action, Comedy, Music",7.5,"Several seemingly unrelated but surprisingly intertwined tales reveal how a Japanese band that independently invented punk rock in 1975 is, 37 years later, connected to a comet that is about to destroy the world.",Yoshihiro Nakamura,/name/nm1327703/,"Atsushi Itô, 
Kiyohiko Shibukawa, 
Noriko Eguchi, 
Hidekazu Mashima","/name/nm0411682/,/name/nm1097739/,/name/nm1655689/,/name/nm0556322/",3281.0,
tt0092195,Weekend Warriors,1986,R,89 min,"Action, Comedy, Music",4.4,"In 1961, with war looming in Berlin, an Air National Guard unit of actors, journalists and studio personnel is up for military academy consideration.",Bert Convy,/name/nm0176622/,"Chris Lemmon, 
Vic Tayback, 
Lloyd Bridges, 
Graham Jarvis","/name/nm0501422/,/name/nm0851861/,/name/nm0000978/,/name/nm0419054/",338.0,351623.0
tt6117702,Munna Michael,2017,Not Rated,140 min,"Action, Drama, Music",3.4,"A young man, tries to follow the footsteps of his idol, The King of Pop, Michael Jackson.",Sabir Khan,/name/nm1287649/,"Tiger Shroff, 
Nidhhi Agerwal, 
Nawazuddin Siddiqui, 
Mohammad Farman Ali","/name/nm5899377/,/name/nm8490426/,/name/nm1596350/,/name/nm13798824/",3658.0,
tt0078335,Stunt Rock,1978,PG,91 min,"Action, Drama, Music",5.4,"While working on a TV show in Los Angeles, famed Australian stuntman Grant Page helps an up-and-coming fantasy-themed rock band develop special effects and dangerous stunts for their act.",Brian Trenchard-Smith,/name/nm0872062/,"Grant Page, 
Monique van de Ven, 
Margaret Gerard, 
Sorcery","/name/nm0656186/,/name/nm0892857/,/name/nm0313968/,/name/nm11531645/",551.0,
tt3951190,Born to Dance,2015,Not Rated,96 min,"Action, Drama, Music",5.3,"Coming of age tale told through the eyes of 'Tu', an ambitious young man from Auckland who dreams of being a professional hip-hop dancer.","Tammy Davis, 
Chris Graham",/name/nm0205541/,"Tia Maipi, 
Stan Walker, 
Kherington Payne, 
John Tui","/name/nm1503386/,/name/nm6847489/,/name/nm3574793/,/name/nm3034222/,/name/nm1732270/",822.0,
tt3068544,Days of Power,2017,TV-MA,102 min,"Action, Drama, Music",3.2,"On their 2010 tour, an International Pop Star and band mates mysteriously disappear. As past and present merge, they find themselves searching for answers and fighting for more than just their own lives when a concealed industry is revealed.",Jason Pagnoni,/name/nm5907970/,"Eric Roberts, 
Eliza Roberts, 
Jenny Hutton, 
Robert Venable","/name/nm0000616/,/name/nm0731067/,/name/nm5272940/,/name/nm5050507/",396.0,
tt1325717,Boogie Town,2009,,101 min,"Action, Drama, Music",6.8,"BOOGIE TOWN, a modern day West side Story for the hip hop generation, takes place in a New York City of the future. There's no more violence, no more drugs - in their place are illegal ...                See full summary »",Chris Stokes,/name/nm0831321/,"Marques Houston, 
Brenda Song, 
Kat Graham, 
Joseph C. Phillips","/name/nm0396867/,/name/nm0814259/,/name/nm0334159/,/name/nm0680531/",122.0,
tt1606267,Lafangey Parindey,2010,Not Rated,126 min,"Action, Drama, Music",5.2,"Set in grungy Mumbai, an edgy love story of a blindfolded street fighter and a blind dancer and their never-say-die spirit to achieve the impossible.",Pradeep Sarkar,/name/nm1224879/,"Neil Nitin Mukesh, 
Deepika Padukone, 
Viraj Adhav, 
Samir Chandra","/name/nm1778703/,/name/nm2138653/,/name/nm8966651/,/name/nm4606108/",2221.0,
tt0033963,Nothing But the Truth,1941,Approved,90 min,"Action, Comedy, Music",7.1,"A stockbroker's new partner bets $10,000 that he can only tell the truth for twenty-four hours.",Elliott Nugent,/name/nm0637790/,"Bob Hope, 
Paulette Goddard, 
Edward Arnold, 
Leif Erickson","/name/nm0001362/,/name/nm0002104/,/name/nm0036427/,/name/nm0002063/",793.0,
tt0091862,Robotech: The Movie,1986,PG,87 min,"Animation, Action, Music",6.2,"Re-edited version of a Japanese TV serial combined with a direct-to-video anime, released in the U.S. as a feature.","Noboru Ishiguro, 
Carl Macek",/name/nm0410963/,"Kerrigan Mahan, 
Iona Morris, 
Diane Michelle, 
Gregory Snegoff","/name/nm0532146/,/name/nm0536748/,/name/nm0606599/,/name/nm0585028/,/name/nm0810987/",444.0,
