movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt1825683,Black Panther,2018,PG-13,134 min,"Action, Adventure, Sci-Fi",7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,/name/nm3363032/,"Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira","/name/nm1569276/,/name/nm0430107/,/name/nm2143282/,/name/nm1775091/",785813.0,700059566.0
tt8041270,Jurassic World: Dominion,2022,PG-13,147 min,"Action, Adventure, Sci-Fi",5.6,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",Colin Trevorrow,/name/nm1119880/,"Chris Pratt, 
Bryce Dallas Howard, 
Laura Dern, 
Sam Neill","/name/nm0695435/,/name/nm0397171/,/name/nm0000368/,/name/nm0000554/",171780.0,
tt1392170,The Hunger Games,2012,PG-13,142 min,"Action, Adventure, Sci-Fi",7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,/name/nm0002657/,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci","/name/nm2225369/,/name/nm1242688/,/name/nm2955013/,/name/nm0001804/",927499.0,408010692.0
tt1375666,Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,/name/nm0634240/,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe","/name/nm0000138/,/name/nm0330687/,/name/nm0680983/,/name/nm0913822/",2373682.0,292576195.0
tt22769820,Legion of Super-Heroes,2023,PG-13,83 min,"Animation, Action, Sci-Fi",5.7,"Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Superman mentors her. Meanwhile, she must contend with a mysterious group called the Dark Circle who searches for a powerful weapon held in the Academy's vault.",Jeff Wamester,/name/nm5208146/,"Jensen Ackles, 
Matt Bomer, 
Darin De Paul, 
Ben Diskin","/name/nm0010075/,/name/nm0093589/,/name/nm0210875/,/name/nm0228356/",1200.0,
tt0133093,The Matrix,1999,R,136 min,"Action, Sci-Fi",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, 
Lilly Wachowski",/name/nm0905154/,"Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving","/name/nm0905152/,/name/nm0000206/,/name/nm0000401/,/name/nm0005251/,/name/nm0915989/",1928021.0,171479930.0
tt0116629,Independence Day,1996,PG-13,145 min,"Action, Adventure, Sci-Fi",7.0,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Roland Emmerich,/name/nm0000386/,"Will Smith, 
Bill Pullman, 
Jeff Goldblum, 
Mary McDonnell","/name/nm0000226/,/name/nm0000597/,/name/nm0000156/,/name/nm0001521/",580884.0,306169255.0
tt0115624,Barb Wire,1996,R,98 min,"Action, Sci-Fi",3.5,"During the Second American Civil War in 2017, Barb Wire owns a nightclub called the Hammerhead. Things become complicated when her ex-lover Axel Hood, who is married to the fugitive Corrina Devonshire, re-enters her life.",David Hogan,/name/nm0389514/,"Pamela Anderson, 
Amir AboulEla, 
Adriana Alexander, 
David Andriole","/name/nm0000097/,/name/nm0008894/,/name/nm0018234/,/name/nm0029025/",29765.0,3794000.0
tt0107290,Jurassic Park,1993,PG-13,127 min,"Action, Adventure, Sci-Fi",8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,/name/nm0000229/,"Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough","/name/nm0000554/,/name/nm0000368/,/name/nm0000156/,/name/nm0000277/",998360.0,402453882.0
tt0478970,Ant-Man,2015,PG-13,117 min,"Action, Comedy, Sci-Fi",7.3,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Peyton Reed,/name/nm0715636/,"Paul Rudd, 
Michael Douglas, 
Corey Stoll, 
Evangeline Lilly","/name/nm0748620/,/name/nm0000140/,/name/nm1015684/,/name/nm1431940/",675514.0,180202163.0
tt1631867,Edge of Tomorrow,2014,PG-13,113 min,"Action, Adventure, Sci-Fi",7.9,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",Doug Liman,/name/nm0510731/,"Tom Cruise, 
Emily Blunt, 
Bill Paxton, 
Brendan Gleeson","/name/nm0000129/,/name/nm1289434/,/name/nm0000200/,/name/nm0322407/",687691.0,100206256.0
