movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt3076658,Creed,2015,PG-13,133 min,"Action, Drama, Sport",7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,/name/nm3363032/,"Michael B. Jordan, 
Sylvester Stallone, 
Tessa Thompson, 
Phylicia Rashad","/name/nm0430107/,/name/nm0000230/,/name/nm1935086/,/name/nm0711118/",279281.0,109767581.0
tt1291584,Warrior,2011,PG-13,140 min,"Action, Drama, Sport",8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,/name/nm0640334/,"Tom Hardy, 
Nick Nolte, 
Joel Edgerton, 
Jennifer Morrison","/name/nm0362766/,/name/nm0000560/,/name/nm0249291/,/name/nm0607185/",476938.0,13657115.0
tt6343314,Creed II,2018,PG-13,130 min,"Action, Drama, Sport",7.1,"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",Steven Caple Jr.,/name/nm4023702/,"Michael B. Jordan, 
Sylvester Stallone, 
Tessa Thompson, 
Phylicia Rashad","/name/nm0430107/,/name/nm0000230/,/name/nm1935086/,/name/nm0711118/",129361.0,115715889.0
tt0479143,Rocky Balboa,2006,PG,102 min,"Action, Drama, Sport",7.1,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.",Sylvester Stallone,/name/nm0000230/,"Sylvester Stallone, 
Antonio Tarver, 
Milo Ventimiglia, 
Burt Young","/name/nm0000230/,/name/nm1620989/,/name/nm0893257/,/name/nm0949350/",219775.0,70270943.0
tt0082136,The Cannonball Run,1981,PG,95 min,"Action, Comedy, Sport",6.2,"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks.",Hal Needham,/name/nm0624102/,"Burt Reynolds, 
Roger Moore, 
Farrah Fawcett, 
Dom DeLuise","/name/nm0000608/,/name/nm0000549/,/name/nm0000396/,/name/nm0001123/",37460.0,72179579.0
tt0099371,Days of Thunder,1990,PG-13,107 min,"Action, Drama, Sport",6.1,A young hot-shot stock car driver gets his chance to compete at the top level.,Tony Scott,/name/nm0001716/,"Tom Cruise, 
Nicole Kidman, 
Robert Duvall, 
Randy Quaid","/name/nm0000129/,/name/nm0000173/,/name/nm0000380/,/name/nm0001642/",91072.0,82670733.0
tt1023111,Never Back Down,2008,PG-13,113 min,"Action, Drama, Sport",6.5,"A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club, and meets a classmate who begins to coerce him into fighting.",Jeff Wadlow,/name/nm0905592/,"Sean Faris, 
Djimon Hounsou, 
Amber Heard, 
Cam Gigandet","/name/nm0267511/,/name/nm0005023/,/name/nm1720028/,/name/nm1544217/",103030.0,24850922.0
tt0390022,Friday Night Lights,2004,PG-13,118 min,"Action, Drama, Sport",7.2,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",Peter Berg,/name/nm0000916/,"Billy Bob Thornton, 
Jay Hernandez, 
Derek Luke, 
Lucas Black","/name/nm0000671/,/name/nm0379596/,/name/nm1035682/,/name/nm0085407/",64309.0,61255921.0
tt0091326,The Karate Kid Part II,1986,PG,113 min,"Action, Family, Sport",6.1,"Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own.",John G. Avildsen,/name/nm0000814/,"Pat Morita, 
Ralph Macchio, 
Pat E. Johnson, 
Bruce Malmuth","/name/nm0001552/,/name/nm0001494/,/name/nm0425944/,/name/nm0540330/",92644.0,115103979.0
tt1648179,Here Comes the Boom,2012,PG,105 min,"Action, Comedy, Sport",6.4,A high-school biology teacher looks to become a successful mixed martial arts fighter in an effort to raise money to prevent extracurricular activities from being axed at his cash-strapped school.,Frank Coraci,/name/nm0178997/,"Kevin James, 
Salma Hayek, 
Henry Winkler, 
Greg Germann","/name/nm0416673/,/name/nm0000161/,/name/nm0001857/,/name/nm0314524/",92742.0,45290318.0
tt0093692,Over the Top,1987,PG,93 min,"Action, Drama, Sport",5.8,Tough trucker Lincoln Hawk is determined to win back his son and triumph at the world arm wrestling championships.,Menahem Golan,/name/nm0324875/,"Sylvester Stallone, 
Robert Loggia, 
Susan Blakely, 
Rick Zumwalt","/name/nm0000230/,/name/nm0005162/,/name/nm0086806/,/name/nm0958658/",56016.0,16057580.0
tt0073631,Rollerball,1975,Approved,125 min,"Action, Sci-Fi, Sport",6.6,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",Norman Jewison,/name/nm0422484/,"James Caan, 
John Houseman, 
Maud Adams, 
John Beck","/name/nm0001001/,/name/nm0002144/,/name/nm0000726/,/name/nm0065183/",26162.0,30000000.0
tt0132245,Driven,2001,PG-13,116 min,"Action, Drama, Sport",4.6,A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.,Renny Harlin,/name/nm0001317/,"Sylvester Stallone, 
Kip Pardue, 
Til Schweiger, 
Burt Reynolds","/name/nm0000230/,/name/nm0661164/,/name/nm0001709/,/name/nm0000608/",41830.0,32720065.0
tt0100631,Ski Patrol,1990,PG,91 min,"Action, Comedy, Sport",5.1,A developer attempts to sabotage the safety record of a ski resort.,Richard Correll,/name/nm0180902/,"Roger Rose, 
T.K. Carter, 
Yvette Nipar, 
Leslie Jordan","/name/nm0741648/,/name/nm0141953/,/name/nm0621046/,/name/nm0430074/",3906.0,8533973.0
tt2513074,Billy Lynn's Long Halftime Walk,2016,R,113 min,"Action, Drama, Sport",6.2,"19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks, the film shows what really happened to his squad - contrasting the realities of war with America's perceptions.",Ang Lee,/name/nm0000487/,"Joe Alwyn, 
Garrett Hedlund, 
Arturo Castro, 
Mason Lee","/name/nm7153679/,/name/nm1330560/,/name/nm3594330/,/name/nm0497853/",23176.0,1738477.0
tt0096913,Best of the Best,1989,PG-13,97 min,"Action, Drama, Sport",6.4,A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country - can they overcome their rivalry and work together to win?,Robert Radler,/name/nm0705675/,"Eric Roberts, 
James Earl Jones, 
Sally Kirkland, 
Phillip Rhee","/name/nm0000616/,/name/nm0000469/,/name/nm0000476/,/name/nm0722221/",14483.0,1700000.0
tt0104346,Gladiator,1992,R,101 min,"Action, Drama, Sport",6.5,"Tommy Riley has moved with his dad to Chicago from a 'nice place'. He keeps to himself, goes to school. However, after a street fight he is noticed and quickly falls into the world of illegal underground boxing - where punches can kill.",Rowdy Herrington,/name/nm0380705/,"James Marshall, 
Cuba Gooding Jr., 
Brian Dennehy, 
Richard Lexsee","/name/nm0338614/,/name/nm0000421/,/name/nm0001133/,/name/nm0507963/",9692.0,9223441.0
tt0116277,The Fan,1996,R,116 min,"Action, Drama, Sport",5.9,An all star baseball player becomes the unhealthy focus of a down on his luck salesman.,Tony Scott,/name/nm0001716/,"Robert De Niro, 
Wesley Snipes, 
Ellen Barkin, 
John Leguizamo","/name/nm0000134/,/name/nm0000648/,/name/nm0000289/,/name/nm0000491/",49316.0,18573791.0
tt7052494,Trading Paint,2019,R,87 min,"Action, Drama, Sport",4.5,"Veteran race car driver Sam Munroe and his son, a fellow driver from a small town overcome family and professional conflicts, balancing competition, ego, resentment and a racing nemesis to come out stronger on the other side.",Karzan Kader,/name/nm2545652/,"John Travolta, 
Shania Twain, 
Toby Sebastian, 
Rosabell Laurenti Sellers","/name/nm0000237/,/name/nm0005510/,/name/nm4514519/,/name/nm3065809/",2392.0,
tt0246894,Rollerball,2002,PG-13,98 min,"Action, Sci-Fi, Sport",3.1,The big thing in 2005 is a violent sport which can have some pretty serious consequences... like dying.,John McTiernan,/name/nm0001532/,"Chris Klein, 
Jean Reno, 
LL Cool J, 
Rebecca Romijn","/name/nm0005098/,/name/nm0000606/,/name/nm0005112/,/name/nm0005381/",28625.0,18990798.0
tt0065215,Winning,1969,M,123 min,"Action, Drama, Sport",6.0,"Frank Capua is a rising star on the race circuit who dreams of winning the big one--the Indianapolis 500. But to get there he runs the risk of losing his wife Elora to his rival, Luther ...                See full summary »",James Goldstone,/name/nm0326360/,"Paul Newman, 
Joanne Woodward, 
Robert Wagner, 
Richard Thomas","/name/nm0000056/,/name/nm0940946/,/name/nm0001822/,/name/nm0001796/",2084.0,14644335.0
tt13919802,Anek,2022,,147 min,"Action, Drama, Sport",6.5,"A socio political, action thriller set against the geopolitical backdrop of Northeast India.",Anubhav Sinha,/name/nm1025280/,"Ayushmann Khurrana, 
Andrea Kevichüsa, 
Manoj Pahwa, 
Kumud Mishra","/name/nm4731677/,/name/nm13634117/,/name/nm0656644/,/name/nm1122912/",21921.0,
tt0097987,No Holds Barred,1989,PG-13,93 min,"Action, Sport",4.4,A TV-network boss pits a wrestler called Zeus against a wrestler called Rip in a wrestling match.,Thomas J. Wright,/name/nm0942869/,"Hulk Hogan, 
Joan Severance, 
Kurt Fuller, 
Tom Lister Jr.","/name/nm0001356/,/name/nm0000220/,/name/nm0298281/,/name/nm0001474/",6628.0,16093651.0
tt4832640,Sultan,2016,Not Rated,170 min,"Action, Drama, Sport",7.0,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",Ali Abbas Zafar,/name/nm1804614/,"Salman Khan, 
Anushka Sharma, 
Randeep Hooda, 
Amit Sadh","/name/nm0006795/,/name/nm3087728/,/name/nm0393535/,/name/nm2815326/",47902.0,6200000.0
tt0098369,Speed Zone,1989,PG,94 min,"Action, Comedy, Sport",4.4,"Despite the police's preemptive strike, the illegal coast-to-coast car race is still on with new drivers. It's a race where fair play, red lights, stop signs, police roadblocks and traffic rules in general have no validity.",Jim Drake,/name/nm0236930/,"Peter Boyle, 
Donna Dixon, 
John Candy, 
Matt Frewer","/name/nm0001967/,/name/nm0001146/,/name/nm0001006/,/name/nm0001242/",3532.0,3077361.0
tt6539992,Embattled,2020,R,117 min,"Action, Drama, Sport",6.5,"A son aspires to follow in his famous MMA father's footsteps, but along his journey must figure out how to break the abusive cycle, if possible, that his father has continued.",Nick Sarkisov,/name/nm8738653/,"Darren Mann, 
Stephen Dorff, 
Elizabeth Reaser, 
Drew Starkey","/name/nm5795728/,/name/nm0001151/,/name/nm0714147/,/name/nm6481846/",3277.0,
tt2076356,The Fight Machine,2022,,104 min,"Action, Drama, Sport",7.4,Two young men from different backgrounds find their destinies linked when they meet up in the world of illegal bare-knuckle fighting.,Andrew Thomas Hunt,/name/nm3523898/,"Greg Hovanessian, 
Dempsey Bryk, 
Greg Bryk, 
Michael Ironside","/name/nm5108650/,/name/nm8065502/,/name/nm0117374/,/name/nm0000461/",29.0,
tt10661710,Born a Champion,2021,R,112 min,"Action, Drama, Sport",6.8,"Mickey Kelley, one of the first American black belts in Brazilian jiu-jitsu, gets pulled away from everything he loves and into an unsanctioned MMA tournament.",Alex Ranarivelo,/name/nm1156199/,"Katrina Bowden, 
Dennis Quaid, 
Sean Patrick Flanery, 
Currie Graham","/name/nm2197298/,/name/nm0000598/,/name/nm0001218/,/name/nm0333982/",4168.0,
