movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt8593824,The Old Way,2023,R,95 min,"Action, Western",5.3,"An old gunslinger and his daughter must face the consequences of his past, when the son of a man he murdered years ago arrives to take his revenge.",Brett Donowho,/name/nm0233078/,"Nicolas Cage, 
Dean Armstrong, 
Ryan Kiera Armstrong, 
Noah Le Gros","/name/nm0000115/,/name/nm0035676/,/name/nm8740834/,/name/nm7885187/",2833.0,
tt10696784,The Harder They Fall,2021,R,139 min,"Action, Drama, Western",6.6,"When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge.",Jeymes Samuel,/name/nm5029795/,"Jonathan Majors, 
Zazie Beetz, 
RJ Cyler, 
Edi Gathegi","/name/nm3718007/,/name/nm5939164/,/name/nm5518972/,/name/nm1346230/",64892.0,
tt12731980,Old Henry,2021,Not Rated,99 min,"Action, Drama, Western",7.2,"An action western about a farmer who takes in an injured man with a satchel of cash. When a posse comes for the money, he must decide who to trust. Defending a siege, he reveals a gunslinging talent calling his true identity into question.",Potsy Ponciroli,/name/nm1403221/,"Tim Blake Nelson, 
Scott Haze, 
Gavin Lewis, 
Trace Adkins","/name/nm0625789/,/name/nm2020278/,/name/nm6349873/,/name/nm0012081/",28019.0,
tt0054047,The Magnificent Seven,1960,Approved,128 min,"Action, Adventure, Western",7.7,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,John Sturges,/name/nm0836328/,"Yul Brynner, 
Steve McQueen, 
Charles Bronson, 
Eli Wallach","/name/nm0000989/,/name/nm0000537/,/name/nm0000314/,/name/nm0908919/",96868.0,4905000.0
tt2404435,The Magnificent Seven,2016,PG-13,132 min,"Action, Adventure, Western",6.8,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,Antoine Fuqua,/name/nm0298807/,"Denzel Washington, 
Chris Pratt, 
Ethan Hawke, 
Vincent D'Onofrio","/name/nm0000243/,/name/nm0695435/,/name/nm0000160/,/name/nm0000352/",215232.0,93432655.0
tt0096487,Young Guns,1988,R,107 min,"Action, Western",6.8,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",Christopher Cain,/name/nm0128883/,"Emilio Estevez, 
Kiefer Sutherland, 
Lou Diamond Phillips, 
Charlie Sheen","/name/nm0000389/,/name/nm0000662/,/name/nm0001617/,/name/nm0000221/",63684.0,45661556.0
tt0058461,A Fistful of Dollars,1964,R,99 min,"Action, Drama, Western",7.9,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Sergio Leone,/name/nm0001466/,"Clint Eastwood, 
Gian Maria Volontè, 
Marianne Koch, 
Wolfgang Lukschy","/name/nm0000142/,/name/nm0002231/,/name/nm0462367/,/name/nm0525742/",220658.0,14500000.0
tt1210819,The Lone Ranger,2013,PG-13,150 min,"Action, Adventure, Western",6.4,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",Gore Verbinski,/name/nm0893659/,"Johnny Depp, 
Armie Hammer, 
William Fichtner, 
Tom Wilkinson","/name/nm0000136/,/name/nm2309517/,/name/nm0001209/,/name/nm0929489/",237273.0,89302115.0
tt0065214,The Wild Bunch,1969,R,135 min,"Action, Adventure, Western",7.9,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Sam Peckinpah,/name/nm0001603/,"William Holden, 
Ernest Borgnine, 
Robert Ryan, 
Edmond O'Brien","/name/nm0000034/,/name/nm0000308/,/name/nm0752813/,/name/nm0639529/",86094.0,12064472.0
tt0100994,Young Guns II,1990,PG-13,104 min,"Action, Western",6.5,"In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.",Geoff Murphy,/name/nm0614276/,"Emilio Estevez, 
Kiefer Sutherland, 
Lou Diamond Phillips, 
Christian Slater","/name/nm0000389/,/name/nm0000662/,/name/nm0001617/,/name/nm0000225/",37156.0,44143410.0
tt1549920,The Last Stand,2013,R,107 min,"Action, Thriller, Western",6.3,"The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.",Jee-woon Kim,/name/nm0453518/,"Arnold Schwarzenegger, 
Forest Whitaker, 
Johnny Knoxville, 
Rodrigo Santoro","/name/nm0000216/,/name/nm0001845/,/name/nm0424216/,/name/nm0763928/",140508.0,12050299.0
tt0060315,Django,1966,Not Rated,91 min,"Action, Western",7.2,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a Klan of Southern racists and a band of Mexican Revolutionaries.,Sergio Corbucci,/name/nm0179281/,"Franco Nero, 
José Canalejas, 
José Bódalo, 
Loredana Nusciak","/name/nm0626259/,/name/nm0133531/,/name/nm0126960/,/name/nm0135489/",28855.0,25097.0
tt0060862,The Professionals,1966,PG-13,117 min,"Action, Adventure, Western",7.3,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,Richard Brooks,/name/nm0112218/,"Burt Lancaster, 
Lee Marvin, 
Robert Ryan, 
Woody Strode","/name/nm0000044/,/name/nm0001511/,/name/nm0752813/,/name/nm0834754/",17286.0,19537346.0
tt4400994,The Ballad of Lefty Brown,2017,R,111 min,"Action, Drama, Western",6.3,"A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice.",Jared Moshe,/name/nm1474337/,"Bill Pullman, 
Peter Fonda, 
Stephen Alan Seder, 
Kathy Baker","/name/nm0000597/,/name/nm0001228/,/name/nm5413616/,/name/nm0000834/",7016.0,7856.0
tt0068897,The Magnificent Seven Ride!,1972,PG,100 min,"Action, Western",5.6,"Forced by personal circumstances, Marshal Chris Adams recruits a writer and five prisoners to help him eliminate a gang of Mexican bandits.",George McCowan,/name/nm0566671/,"Lee Van Cleef, 
Stefanie Powers, 
Michael Callan, 
Mariette Hartley","/name/nm0001812/,/name/nm0694619/,/name/nm0130286/,/name/nm0366866/",3064.0,
