movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt15009428,Argylle,2023,,,Action,,"The world's greatest spy, 'Argylle,' gets caught up in a globe-trotting adventure.",Matthew Vaughn,/name/nm0891216/,"Henry Cavill, 
Bryan Cranston, 
Bryce Dallas Howard, 
Sam Rockwell","/name/nm0147147/,/name/nm0186505/,/name/nm0397171/,/name/nm0005377/",,
tt3396910,Banshee,2013,,50 min,Action,8.5,"A thief gets out of prison after many years and decides to try and locate someone from his past. After a series of events, he ends up becoming sheriff. Now he has to face his past while in his new position as sheriff.",Gemma Mc Carthy,/name/nm4409868/,"Antony Starr, 
Jonathan O' Dwyer, 
Sean Flood, 
Frank Hurley","/name/nm1102278/,/name/nm5374786/,/name/nm5695391/,/name/nm3810877/",8856.0,
tt12844586,Sanctioning Evil,2022,,110 min,Action,6.2,"After being discharged from the military, Sgt. Barnes finds his way back into society via a charismatic politician with a covert plan to eliminate an underground criminal element.",Ante Novakovic,/name/nm0636940/,"Zach McGowan, 
Taryn Manning, 
Tobias Truvillion, 
Chris Tardio","/name/nm2090702/,/name/nm0543383/,/name/nm1267261/,/name/nm0850387/",2191.0,
tt10805970,Raangi,2022,TV-14,121 min,Action,4.9,"An online channel reporter, finds a fake Facebook account of her niece. She encounters a boy Aalim from Libya. The FBI on the other hand wants to bring Aalim under their custody using Thaiyal Nayagi and her niece as bait.",M. Saravanan,/name/nm4690425/,"Trisha Krishnan, 
Anaswara Rajan, 
Gowtham Sri Harsha, 
John Mahendran","/name/nm1375534/,/name/nm9503553/,/name/nm14527108/,/name/nm1892316/",773.0,
tt1258972,The Man with the Iron Fists,2012,R,95 min,Action,5.4,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",RZA,/name/nm0753526/,"Russell Crowe, 
Cung Le, 
Lucy Liu, 
RZA","/name/nm0000128/,/name/nm1087183/,/name/nm0005154/,/name/nm0753526/",63264.0,15634090.0
tt15665274,The Channel,2023,,,Action,,"After their bank heist goes wrong, a desperate criminal, his out-of-control brother, and their motley crew of ex-marines must escape New Orleans and the determined FBI agent who pursues them.",William Kaufman,/name/nm0442287/,"Clayne Crawford, 
Max Martini, 
Paul Rae, 
Michael Thomas","/name/nm0186728/,/name/nm0242882/,/name/nm1497570/,/name/nm9499968/",,
tt26198528,Die Hart: The Movie,2023,,,Action,,"Follows a fictionalized version of Kevin Hart, as he tries to become an action movie star. He attends a school run by Ron Wilcox, where he attempts to learn the ropes on how to become one of the industry's most coveted action stars.",Eric Appel,/name/nm1926903/,"Kevin Hart, 
Tyler Antonius, 
Haley Dumas, 
Nathalie Emmanuel","/name/nm0366389/,/name/nm14198232/,/name/nm14567723/,/name/nm2812026/",,
tt16605106,Bullet Train Down,2022,Unrated,86 min,Action,3.4,"On its maiden run, the world's fastest bullet train is rigged with a bomb that will explode if it dips below 200 mph.",Brian Nowak,/name/nm4943513/,"Tom Sizemore, 
Rashod Freelove, 
Ryan Youngwoong Kim, 
Xander Bailey","/name/nm0001744/,/name/nm3213892/,/name/nm12414234/,/name/nm2071580/",187.0,
tt19783642,High & Low: The Worst X,2022,,119 min,Action,6.3,The film is set 3 years after the events of 'High and Low: The Worst' which follows the rivalry between Oya High's street fighters and delinquents of Housen Academy.,"Norihisa Hiranuma, 
Daisuke Ninomiya, 
Masaki Suzumura, 
Takahito Ôuchi",/name/nm1175663/,"Atsushi Arai, 
Suzuki Higa, 
Kazuma Kawamura, 
Keito Kimura","/name/nm11319584/,/name/nm2337569/,/name/nm9614656/,/name/nm4104743/,/name/nm13595172/,/name/nm10170205/,/name/nm14278516/",391.0,
tt9815714,The Hard Way,2019,Not Rated,92 min,Action,4.8,"After learning his brother died on a mission in Romania, a former soldier teams up with two allies to hunt down a mysterious enemy and exact revenge.",Keoni Waxman,/name/nm0915394/,"Michael Jai White, 
Luke Goss, 
Randy Couture, 
Madalina Anea","/name/nm0925220/,/name/nm0331577/,/name/nm1330276/,/name/nm4356591/",3484.0,
tt22084516,Karate Kid,2024,,,Action,,Plot under wraps.,,,,,,
tt23872640,Dirty Angels,,,,Action,,It centers on a group of female soldiers who disguise themselves as medics to rescue a group of teenagers caught between ISIS and the forces of the Taliban.,Martin Campbell,/name/nm0132709/,"Eva Green, 
Ruby Rose, 
Maria Bakalova, 
Rona-Lee Shimon","/name/nm1200692/,/name/nm3199307/,/name/nm7210025/,/name/nm2320515/",,
