movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt1462764,Indiana Jones and the Dial of Destiny,2023,,,"Action, Adventure",,The plot is unknown at this time.,James Mangold,/name/nm0003506/,"Harrison Ford, 
Mads Mikkelsen, 
Boyd Holbrook, 
Antonio Banderas","/name/nm0000148/,/name/nm0586568/,/name/nm2933542/,/name/nm0000104/",,
tt10298840,Strange World,2022,PG,102 min,"Animation, Action, Adventure",5.6,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.,"Don Hall, 
Qui Nguyen",/name/nm2320658/,"Jake Gyllenhaal, 
Jaboukie Young-White, 
Gabrielle Union, 
Dennis Quaid","/name/nm5945690/,/name/nm0350453/,/name/nm7187850/,/name/nm0005517/,/name/nm0000598/",34585.0,
tt0082971,Raiders of the Lost Ark,1981,PG,115 min,"Action, Adventure",8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",Steven Spielberg,/name/nm0000229/,"Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies","/name/nm0000148/,/name/nm0000261/,/name/nm0293550/,/name/nm0722636/",974011.0,248159971.0
tt1464335,Uncharted,2022,PG-13,116 min,"Action, Adventure",6.3,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",Ruben Fleischer,/name/nm0281508/,"Tom Holland, 
Mark Wahlberg, 
Antonio Banderas, 
Sophia Ali","/name/nm4043618/,/name/nm0000242/,/name/nm0000104/,/name/nm1496115/",218026.0,
tt0097576,Indiana Jones and the Last Crusade,1989,PG-13,127 min,"Action, Adventure",8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,/name/nm0000229/,"Harrison Ford, 
Sean Connery, 
Alison Doody, 
Denholm Elliott","/name/nm0000148/,/name/nm0000125/,/name/nm0233145/,/name/nm0001186/",761587.0,197171806.0
tt9362722,Spider-Man: Across the Spider-Verse,2023,,,"Animation, Action, Adventure",,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Joaquim Dos Santos, 
Kemp Powers, 
Justin K. Thompson",/name/nm1690966/,"Shameik Moore, 
Hailee Steinfeld, 
Oscar Isaac, 
Jake Johnson","/name/nm5358492/,/name/nm1042511/,/name/nm4271336/,/name/nm2794962/,/name/nm1209966/,/name/nm2159926/",,
tt4633694,Spider-Man: Into the Spider-Verse,2018,PG,117 min,"Animation, Action, Adventure",8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman",/name/nm2130108/,"Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali","/name/nm0709056/,/name/nm0745247/,/name/nm4271336/,/name/nm2159926/,/name/nm2794962/,/name/nm0991810/",541462.0,190241310.0
tt0087469,Indiana Jones and the Temple of Doom,1984,PG,118 min,"Action, Adventure",7.5,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.",Steven Spielberg,/name/nm0000229/,"Harrison Ford, 
Kate Capshaw, 
Ke Huy Quan, 
Amrish Puri","/name/nm0000148/,/name/nm0001009/,/name/nm0702841/,/name/nm0700869/",495242.0,179870271.0
tt0424095,Flushed Away,2006,PG,85 min,"Animation, Action, Adventure",6.6,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.","David Bowers, 
Sam Fell",/name/nm0101047/,"Hugh Jackman, 
Kate Winslet, 
Ian McKellen, 
Jean Reno","/name/nm0271402/,/name/nm0413168/,/name/nm0000701/,/name/nm0005212/,/name/nm0000606/",129560.0,64665672.0
tt0441773,Kung Fu Panda,2008,PG,92 min,"Animation, Action, Adventure",7.6,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.","Mark Osborne, 
John Stevenson",/name/nm0651706/,"Jack Black, 
Ian McShane, 
Angelina Jolie, 
Dustin Hoffman","/name/nm0828970/,/name/nm0085312/,/name/nm0574534/,/name/nm0001401/,/name/nm0000163/",479025.0,215434591.0
tt0317705,The Incredibles,2004,PG,115 min,"Animation, Action, Adventure",8.0,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,/name/nm0083348/,"Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee","/name/nm0005266/,/name/nm0000168/,/name/nm0000456/,/name/nm0005134/",747357.0,261441092.0
tt8912936,DC League of Super-Pets,2022,PG,105 min,"Animation, Action, Adventure",7.2,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.","Jared Stern, 
Sam J. Levine",/name/nm2972864/,"Dwayne Johnson, 
Kevin Hart, 
Kate McKinnon, 
John Krasinski","/name/nm0505946/,/name/nm0425005/,/name/nm0366389/,/name/nm0571952/,/name/nm1024677/",65996.0,
tt0096895,Batman,1989,PG-13,126 min,"Action, Adventure",7.5,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Tim Burton,/name/nm0000318/,"Michael Keaton, 
Jack Nicholson, 
Kim Basinger, 
Robert Wuhl","/name/nm0000474/,/name/nm0000197/,/name/nm0000107/,/name/nm0943237/",382221.0,251188924.0
