movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt1630029,Avatar: The Way of Water,2022,PG-13,192 min,"Action, Adventure, Fantasy",7.8,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,/name/nm0000116/,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang","/name/nm0941777/,/name/nm0757855/,/name/nm0000244/,/name/nm0002332/",295119.0,
tt15486810,Teen Wolf: The Movie,2023,TV-MA,140 min,"Action, Drama, Fantasy",5.6,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",Russell Mulcahy,/name/nm0611683/,"Tyler Posey, 
Crystal Reed, 
Holland Roden, 
Tyler Hoechlin","/name/nm0692677/,/name/nm3706952/,/name/nm1555699/,/name/nm0388382/",9026.0,
tt0499549,Avatar,2009,PG-13,162 min,"Action, Adventure, Fantasy",7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,/name/nm0000116/,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez","/name/nm0941777/,/name/nm0757855/,/name/nm0000244/,/name/nm0735442/",1322694.0,760507625.0
tt6443346,Black Adam,2022,PG-13,125 min,"Action, Adventure, Fantasy",6.4,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Jaume Collet-Serra,/name/nm1429471/,"Dwayne Johnson, 
Aldis Hodge, 
Pierce Brosnan, 
Noah Centineo","/name/nm0425005/,/name/nm0388038/,/name/nm0000112/,/name/nm3170207/",222934.0,
tt0439572,The Flash,2023,,,"Action, Adventure, Fantasy",,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",Andy Muschietti,/name/nm0615592/,"Ben Affleck, 
Michael Shannon, 
Michael Keaton, 
Ezra Miller","/name/nm0000255/,/name/nm0788335/,/name/nm0000474/,/name/nm3009232/",,
tt2906216,Dungeons & Dragons: Honor Among Thieves,2023,,134 min,"Action, Adventure, Fantasy",,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","John Francis Daley, 
Jonathan Goldstein",/name/nm0197855/,"Chris Pine, 
Michelle Rodriguez, 
Regé-Jean Page, 
Justice Smith","/name/nm0326246/,/name/nm1517976/,/name/nm0735442/,/name/nm2074546/,/name/nm6819854/",,
tt10872600,Spider-Man: No Way Home,2021,PG-13,148 min,"Action, Adventure, Fantasy",8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,/name/nm1218281/,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon","/name/nm4043618/,/name/nm3918035/,/name/nm1212722/,/name/nm8188622/",770492.0,804747988.0
tt0446029,Scott Pilgrim vs. the World,2010,PG-13,112 min,"Action, Comedy, Fantasy",7.5,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,/name/nm0942367/,"Michael Cera, 
Mary Elizabeth Winstead, 
Kieran Culkin, 
Anna Kendrick","/name/nm0148418/,/name/nm0935541/,/name/nm0001085/,/name/nm0447695/",433481.0,31494270.0
tt0120616,The Mummy,1999,PG-13,124 min,"Action, Adventure, Fantasy",7.1,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",Stephen Sommers,/name/nm0814085/,"Brendan Fraser, 
Rachel Weisz, 
John Hannah, 
Arnold Vosloo","/name/nm0000409/,/name/nm0001838/,/name/nm0001314/,/name/nm0903677/",436705.0,155247825.0
tt9419884,Doctor Strange in the Multiverse of Madness,2022,PG-13,126 min,"Action, Adventure, Fantasy",6.9,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",Sam Raimi,/name/nm0000600/,"Benedict Cumberbatch, 
Elizabeth Olsen, 
Chiwetel Ejiofor, 
Benedict Wong","/name/nm1212722/,/name/nm0647634/,/name/nm0252230/,/name/nm0938950/",425235.0,
