movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0116367,From Dusk Till Dawn,1996,R,108 min,"Action, Crime, Horror",7.2,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,/name/nm0001675/,"Harvey Keitel, 
George Clooney, 
Juliette Lewis, 
Quentin Tarantino","/name/nm0000172/,/name/nm0000123/,/name/nm0000496/,/name/nm0000233/",319985.0,25753840.0
tt9224104,The Meg 2: The Trench,2023,,,"Action, Adventure, Horror",,Plot unknown. Sequel to the 2018 film 'The Meg'.,Ben Wheatley,/name/nm1296554/,"Jason Statham, 
Cliff Curtis, 
Sienna Guillory, 
Skyler Samuels","/name/nm0005458/,/name/nm0193295/,/name/nm0347149/,/name/nm1321094/",,
tt7798634,Ready or Not,2019,R,95 min,"Action, Comedy, Horror",6.8,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"Matt Bettinelli-Olpin, 
Tyler Gillett",/name/nm2366012/,"Samara Weaving, 
Adam Brody, 
Mark O'Brien, 
Henry Czerny","/name/nm2419470/,/name/nm3034977/,/name/nm0111013/,/name/nm1975628/,/name/nm0001089/",157715.0,28714231.0
tt5108870,Morbius,2022,PG-13,104 min,"Action, Adventure, Horror",5.2,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",Daniel Espinosa,/name/nm1174251/,"Jared Leto, 
Matt Smith, 
Adria Arjona, 
Jared Harris","/name/nm0001467/,/name/nm1741002/,/name/nm5245722/,/name/nm0364813/",130990.0,
tt0816711,World War Z,2013,PG-13,116 min,"Action, Adventure, Horror",7.0,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,Marc Forster,/name/nm0286975/,"Brad Pitt, 
Mireille Enos, 
Daniella Kertesz, 
James Badge Dale","/name/nm0000093/,/name/nm0257969/,/name/nm2020146/,/name/nm0197647/",676411.0,202359711.0
tt0093773,Predator,1987,R,107 min,"Action, Adventure, Horror",7.8,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,John McTiernan,/name/nm0001532/,"Arnold Schwarzenegger, 
Carl Weathers, 
Kevin Peter Hall, 
Elpidia Carrillo","/name/nm0000216/,/name/nm0001835/,/name/nm0001310/,/name/nm0001990/",428940.0,59735548.0
tt0363547,Dawn of the Dead,2004,R,101 min,"Action, Horror",7.3,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",Zack Snyder,/name/nm0811583/,"Sarah Polley, 
Ving Rhames, 
Mekhi Phifer, 
Jake Weber","/name/nm0001631/,/name/nm0000609/,/name/nm0001616/,/name/nm0916617/",259372.0,59020957.0
tt0360486,Constantine,2005,R,121 min,"Action, Fantasy, Horror",7.0,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",Francis Lawrence,/name/nm1349376/,"Keanu Reeves, 
Rachel Weisz, 
Djimon Hounsou, 
Shia LaBeouf","/name/nm0000206/,/name/nm0001838/,/name/nm0005023/,/name/nm0479471/",352209.0,75976178.0
tt1156398,Zombieland,2009,R,88 min,"Action, Comedy, Horror",7.6,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",Ruben Fleischer,/name/nm0281508/,"Jesse Eisenberg, 
Emma Stone, 
Woody Harrelson, 
Abigail Breslin","/name/nm0251986/,/name/nm1297015/,/name/nm0000437/,/name/nm1113550/",585822.0,75590286.0
tt1060277,Cloverfield,2008,PG-13,85 min,"Action, Adventure, Horror",7.0,A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,Matt Reeves,/name/nm0716257/,"Mike Vogel, 
Jessica Lucas, 
Lizzy Caplan, 
T.J. Miller","/name/nm1036181/,/name/nm1140300/,/name/nm0135221/,/name/nm2554352/",404292.0,80048433.0
tt0463854,28 Weeks Later,2007,R,100 min,"Action, Adventure, Horror",6.9,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",Juan Carlos Fresnadillo,/name/nm0294379/,"Jeremy Renner, 
Rose Byrne, 
Robert Carlyle, 
Harold Perrineau","/name/nm0719637/,/name/nm0126284/,/name/nm0001015/,/name/nm0674782/",280540.0,28638916.0
tt0480249,I Am Legend,2007,PG-13,101 min,"Action, Drama, Horror",7.2,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",Francis Lawrence,/name/nm1349376/,"Will Smith, 
Alice Braga, 
Charlie Tahan, 
Salli Richardson-Whitfield","/name/nm0000226/,/name/nm0103797/,/name/nm2253071/,/name/nm0724757/",768223.0,256386216.0
tt5886046,Escape Room,2019,PG-13,99 min,"Action, Adventure, Horror",6.4,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,Adam Robitel,/name/nm0733263/,"Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine","/name/nm5347988/,/name/nm2383250/,/name/nm1337350/,/name/nm0479527/",126395.0,57005601.0
tt15575470,Project Wolf Hunting,2022,18+,122 min,"Action, Crime, Horror",6.1,"Follows dangerous criminals on a cargo ship who are transported from the Philippines to South Korea, as they unleash a sinister force after an escape attempt leads to a riot.",Hongsun Kim,/name/nm2341549/,"Seo In-Guk, 
Dong-Yoon Jang, 
Jung So-Min, 
Gwi-hwa Choi","/name/nm5364609/,/name/nm8589353/,/name/nm4746399/,/name/nm3780600/",2295.0,
tt1038686,Legion,2010,R,100 min,"Action, Fantasy, Horror",5.2,"When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",Scott Stewart,/name/nm0829820/,"Paul Bettany, 
Dennis Quaid, 
Charles S. Dutton, 
Lucas Black","/name/nm0079273/,/name/nm0000598/,/name/nm0001165/,/name/nm0085407/",106827.0,40168080.0
tt0120177,Spawn,1997,PG-13,96 min,"Action, Drama, Horror",5.2,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.",Mark A.Z. Dippé,/name/nm0228147/,"Michael Jai White, 
John Leguizamo, 
Martin Sheen, 
Theresa Randle","/name/nm0925220/,/name/nm0000491/,/name/nm0000640/,/name/nm0005337/",69487.0,54967359.0
