movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt2574698,Gunday,2014,Not Rated,152 min,"Action, Drama, Musical",2.6,"The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",Ali Abbas Zafar,/name/nm1804614/,"Ranveer Singh, 
Arjun Kapoor, 
Priyanka Chopra Jonas, 
Irrfan Khan","/name/nm3828984/,/name/nm1819083/,/name/nm1231899/,/name/nm0451234/",59445.0,
tt0136352,Koyla,1997,,166 min,"Action, Drama, Musical",6.2,"A village girl agrees to a marriage to a king she has never met after he sends her a photograph of himself. But the man in the photograph is not the king but his most loyal slave, the handsome but mute Shankar.",Rakesh Roshan,/name/nm0004363/,"Shah Rukh Khan, 
Madhuri Dixit, 
Amrish Puri, 
Ranjeet Bedi","/name/nm0451321/,/name/nm0002043/,/name/nm0700869/,/name/nm0710211/",9267.0,
tt0049041,C.I.D.,1956,Not Rated,146 min,"Action, Crime, Musical",7.1,"A newspaper editor gets murdered when he was about to expose the underworld links of a rich person. So, a C.I.D inspector gets assigned to investigate the murder case.",Raj Khosla,/name/nm0451846/,"Dev Anand, 
Shakila, 
Johnny Walker, 
K.N. Singh","/name/nm0007147/,/name/nm0787630/,/name/nm0907888/,/name/nm0802144/",753.0,
tt0082644,Laawaris,1981,,189 min,"Drama, Action, Musical",7.0,"A man, abandoned as a baby and forced to live as an orphan, is unknowingly employed by his biological father.",Prakash Mehra,/name/nm0576488/,"Amitabh Bachchan, 
Zeenat Aman, 
Rakhee Gulzar, 
Amjad Khan","/name/nm0000821/,/name/nm0023868/,/name/nm0347901/,/name/nm0451166/",2422.0,
tt0118673,Bade Miyan Chote Miyan,1998,Not Rated,140 min,"Action, Comedy, Musical",5.9,"Arjun and Pyare Mohan are honest policemen who work together. Trouble follows when thieves Bade Miyan and Chote Miyan, look-alikes of Arjun and Pyare, commit crimes and the hapless duo are blamed for it.",David Dhawan,/name/nm0223522/,"Amitabh Bachchan, 
Govinda, 
Raveena Tandon, 
Ramya Krishnan","/name/nm0000821/,/name/nm0332871/,/name/nm0849199/,/name/nm0471447/",3134.0,
tt1253859,Road to Hell,2008,,87 min,"Action, Fantasy, Musical",5.5,A soldier who has been fighting a long war is driven mad because he no longer believes in any purpose or righteous truth behind the killing. He comes home to a surreal world looking for his...                See full summary »,Albert Pyun,/name/nm0089502/,"Michael Paré, 
Clare Kramer, 
Courtney Peldon, 
Deborah Van Valkenburgh","/name/nm0001595/,/name/nm0004456/,/name/nm0670780/,/name/nm0888154/",922.0,
tt0070935,Procession of Memories,1973,,164 min,"Action, Drama, Musical",7.3,"Three brothers are separated after their parents' murder. Years later, their only hope of avenging their parents and reuniting as a family lies in the song they learned as children.",Nasir Hussain,/name/nm0403826/,"Dharmendra, 
Zeenat Aman, 
Vijay Arora, 
Imtiaz Khan","/name/nm0004429/,/name/nm0023868/,/name/nm0037026/,/name/nm1263583/",2061.0,
tt3595298,Prem Ratan Dhan Payo,2015,Not Rated,164 min,"Action, Drama, Musical",4.4,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",Sooraj R. Barjatya,/name/nm0054744/,"Salman Khan, 
Sonam Kapoor, 
Abhinay Raj Singh, 
Neil Nitin Mukesh","/name/nm0006795/,/name/nm2128238/,/name/nm13260258/,/name/nm1778703/",22607.0,4364639.0
tt13773512,Live Spectacle Naruto: Song of the Akatsuki,2017,,170 min,"Action, Fantasy, Musical",8.2,"Based on the events of Naruto Shippuden, Team Kakashi finds a clue regarding Orochimaru and Sasuke's whereabouts. Little does he know the Akatsuki are after him with plans to extract the Nine-Tailed fox from his body.",Akiko Kodama,/name/nm9528884/,"Kôdai Matsuoka, 
Ryuji Sato, 
Yui Ito, 
Yûki Kimisawa","/name/nm5271813/,/name/nm8535650/,/name/nm5453615/,/name/nm3564465/",52.0,
tt1180583,Vaaranam Aayiram,2008,Not Rated,169 min,"Action, Drama, Musical",8.2,"A father and son help each other through growing up, romance, tragedy, and adventure.",Gautham Vasudev Menon,/name/nm1069826/,"Suriya, 
Simran, 
Ramya, 
Sameera Reddy","/name/nm1421814/,/name/nm0801264/,/name/nm1631667/,/name/nm1213820/",13383.0,
