movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt5433140,Fast X,2023,,,"Action, Crime, Mystery",,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,Louis Leterrier,/name/nm0504642/,"Vin Diesel, 
Jordana Brewster, 
Tyrese Gibson, 
Michelle Rodriguez","/name/nm0004874/,/name/nm0108287/,/name/nm0879085/,/name/nm0735442/",,
tt1856101,Blade Runner 2049,2017,R,164 min,"Action, Drama, Mystery",8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,/name/nm0898288/,"Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista","/name/nm0000148/,/name/nm0331516/,/name/nm1869101/,/name/nm1176985/",586274.0,92054159.0
tt10242388,Last Seen Alive,2022,R,95 min,"Action, Drama, Mystery",5.6,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,Brian Goodman,/name/nm0329023/,"Gerard Butler, 
Jaimie Alexander, 
Russell Hornsby, 
Ethan Embry","/name/nm0124930/,/name/nm1526352/,/name/nm0395203/,/name/nm0256121/",22233.0,
tt0364569,Oldboy,2003,R,120 min,"Action, Drama, Mystery",8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-wook,/name/nm0661791/,"Choi Min-sik, 
Yoo Ji-tae, 
Kang Hye-jeong, 
Kim Byeong-Ok","/name/nm0158856/,/name/nm0949167/,/name/nm1367246/,/name/nm1366028/",586033.0,707481.0
tt1840309,Divergent,2014,PG-13,139 min,"Action, Adventure, Mystery",6.6,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Neil Burger,/name/nm1139726/,"Shailene Woodley, 
Theo James, 
Kate Winslet, 
Jai Courtney","/name/nm0940362/,/name/nm3772243/,/name/nm0000701/,/name/nm2541974/",466121.0,150947895.0
tt0368891,National Treasure,2004,PG,131 min,"Action, Adventure, Mystery",6.9,A historian races to find the legendary Templar Treasure before a team of mercenaries.,Jon Turteltaub,/name/nm0005509/,"Nicolas Cage, 
Diane Kruger, 
Justin Bartha, 
Sean Bean","/name/nm0000115/,/name/nm1208167/,/name/nm0058581/,/name/nm0000293/",338858.0,173008894.0
tt0181689,Minority Report,2002,PG-13,145 min,"Action, Crime, Mystery",7.6,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",Steven Spielberg,/name/nm0000229/,"Tom Cruise, 
Colin Farrell, 
Samantha Morton, 
Max von Sydow","/name/nm0000129/,/name/nm0268199/,/name/nm0608090/,/name/nm0001884/",558753.0,132072926.0
tt0409459,Watchmen,2009,R,162 min,"Action, Drama, Mystery",7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,/name/nm0811583/,"Jackie Earle Haley, 
Patrick Wilson, 
Carla Gugino, 
Malin Akerman","/name/nm0355097/,/name/nm0933940/,/name/nm0001303/,/name/nm0015196/",557372.0,107509799.0
tt0830515,Quantum of Solace,2008,PG-13,106 min,"Action, Adventure, Mystery",6.6,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,Marc Forster,/name/nm0286975/,"Daniel Craig, 
Olga Kurylenko, 
Mathieu Amalric, 
Judi Dench","/name/nm0185819/,/name/nm1385871/,/name/nm0023832/,/name/nm0001132/",453757.0,168368427.0
tt1321511,Oldboy,2013,R,104 min,"Action, Drama, Mystery",5.8,"Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.",Spike Lee,/name/nm0000490/,"Josh Brolin, 
Elizabeth Olsen, 
Samuel L. Jackson, 
Sharlto Copley","/name/nm0000982/,/name/nm0647634/,/name/nm0000168/,/name/nm1663205/",77462.0,2193658.0
tt4682266,The New Mutants,2020,PG-13,94 min,"Action, Horror, Mystery",5.3,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",Josh Boone,/name/nm1837748/,"Maisie Williams, 
Anya Taylor-Joy, 
Charlie Heaton, 
Alice Braga","/name/nm3586035/,/name/nm5896355/,/name/nm6390427/,/name/nm0103797/",82137.0,
tt0988045,Sherlock Holmes,2009,PG-13,128 min,"Action, Adventure, Mystery",7.6,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,/name/nm0005363/,"Robert Downey Jr., 
Jude Law, 
Rachel McAdams, 
Mark Strong","/name/nm0000375/,/name/nm0000179/,/name/nm1046097/,/name/nm0835016/",641133.0,209028679.0
tt0425112,Hot Fuzz,2007,R,121 min,"Action, Comedy, Mystery",7.8,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",Edgar Wright,/name/nm0942367/,"Simon Pegg, 
Nick Frost, 
Martin Freeman, 
Bill Nighy","/name/nm0670408/,/name/nm0296545/,/name/nm0293509/,/name/nm0631490/",511241.0,23637265.0
tt0945513,Source Code,2011,PG-13,93 min,"Action, Drama, Mystery",7.5,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,Duncan Jones,/name/nm1512910/,"Jake Gyllenhaal, 
Michelle Monaghan, 
Vera Farmiga, 
Jeffrey Wright","/name/nm0350453/,/name/nm1157358/,/name/nm0267812/,/name/nm0942482/",526230.0,54712227.0
tt0089489,Lifeforce,1985,R,101 min,"Action, Horror, Mystery",6.1,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos.",Tobe Hooper,/name/nm0001361/,"Steve Railsback, 
Mathilda May, 
Peter Firth, 
Frank Finlay","/name/nm0706883/,/name/nm0000528/,/name/nm0278752/,/name/nm0277975/",26930.0,11603545.0
tt0465234,National Treasure: Book of Secrets,2007,PG,124 min,"Action, Adventure, Mystery",6.5,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,Jon Turteltaub,/name/nm0005509/,"Nicolas Cage, 
Diane Kruger, 
Justin Bartha, 
Jon Voight","/name/nm0000115/,/name/nm1208167/,/name/nm0058581/,/name/nm0000685/",242334.0,219964115.0
tt8110640,In the Shadow of the Moon,2019,TV-MA,115 min,"Action, Crime, Mystery",6.2,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,Jim Mickle,/name/nm0585344/,"Boyd Holbrook, 
Cleopatra Coleman, 
Bokeem Woodbine, 
Michael C. Hall","/name/nm2933542/,/name/nm1671147/,/name/nm0940158/,/name/nm0355910/",54976.0,
tt0053125,North by Northwest,1959,Approved,136 min,"Action, Adventure, Mystery",8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,/name/nm0000033/,"Cary Grant, 
Eva Marie Saint, 
James Mason, 
Jessie Royce Landis","/name/nm0000026/,/name/nm0001693/,/name/nm0000051/,/name/nm0484829/",331083.0,13275000.0
tt3410834,Allegiant,2016,PG-13,120 min,"Action, Adventure, Mystery",5.7,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",Robert Schwentke,/name/nm0777881/,"Shailene Woodley, 
Theo James, 
Jeff Daniels, 
Naomi Watts","/name/nm0940362/,/name/nm3772243/,/name/nm0001099/,/name/nm0915208/",125325.0,66184051.0
