movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt9686790,Shotgun Wedding,2022,R,100 min,"Action, Comedy, Romance",5.4,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.,Jason Moore,/name/nm0601337/,"Jennifer Lopez, 
Josh Duhamel, 
Lenny Kravitz, 
Jennifer Coolidge","/name/nm0000182/,/name/nm0241049/,/name/nm0005107/,/name/nm0177639/",21529.0,
tt0183790,A Knight's Tale,2001,PG-13,132 min,"Action, Adventure, Romance",6.9,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",Brian Helgeland,/name/nm0001338/,"Heath Ledger, 
Mark Addy, 
Rufus Sewell, 
Shannyn Sossamon","/name/nm0005132/,/name/nm0004692/,/name/nm0001722/,/name/nm0815370/",190661.0,56569702.0
tt15326988,Ghosted,2023,PG-13,,"Action, Adventure, Romance",,Plot under wraps.,Dexter Fletcher,/name/nm0002077/,"Ana de Armas, 
Chris Evans, 
Adrien Brody, 
Amy Sedaris","/name/nm1869101/,/name/nm0262635/,/name/nm0004778/,/name/nm0781238/",,
tt0029843,The Adventures of Robin Hood,1938,PG,102 min,"Action, Adventure, Romance",7.9,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.","Michael Curtiz, 
William Keighley",/name/nm0002031/,"Errol Flynn, 
Olivia de Havilland, 
Basil Rathbone, 
Claude Rains","/name/nm0445033/,/name/nm0001224/,/name/nm0000014/,/name/nm0001651/,/name/nm0001647/",52105.0,3981000.0
tt3640424,Allied,2016,R,124 min,"Action, Drama, Romance",7.1,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",Robert Zemeckis,/name/nm0000709/,"Brad Pitt, 
Marion Cotillard, 
Jared Harris, 
Vincent Ebrahim","/name/nm0000093/,/name/nm0182839/,/name/nm0364813/,/name/nm1081121/",160287.0,40098064.0
tt1596350,This Means War,2012,PG-13,103 min,"Action, Comedy, Romance",6.3,C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman.,McG,/name/nm0629334/,"Reese Witherspoon, 
Chris Pine, 
Tom Hardy, 
Til Schweiger","/name/nm0000702/,/name/nm1517976/,/name/nm0362766/,/name/nm0001709/",188979.0,54760791.0
tt0137494,Entrapment,1999,PG-13,113 min,"Action, Crime, Romance",6.3,An insurance agent is sent by her employer to track down and help capture an art thief.,Jon Amiel,/name/nm0000750/,"Sean Connery, 
Catherine Zeta-Jones, 
Ving Rhames, 
Will Patton","/name/nm0000125/,/name/nm0001876/,/name/nm0000609/,/name/nm0001599/",118209.0,87704396.0
tt0316356,Open Range,2003,R,139 min,"Action, Drama, Romance",7.4,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,Kevin Costner,/name/nm0000126/,"Kevin Costner, 
Robert Duvall, 
Diego Luna, 
Abraham Benrubi","/name/nm0000126/,/name/nm0000380/,/name/nm0526019/,/name/nm0072344/",74662.0,58331254.0
tt2091935,Mr. Right,2015,R,95 min,"Action, Comedy, Romance",6.3,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",Paco Cabezas,/name/nm2161247/,"Anna Kendrick, 
Sam Rockwell, 
Tim Roth, 
James Ransone","/name/nm0447695/,/name/nm0005377/,/name/nm0000619/,/name/nm0710447/",57544.0,25369.0
tt0386140,The Legend of Zorro,2005,PG,129 min,"Action, Adventure, Romance",5.9,"Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action.",Martin Campbell,/name/nm0132709/,"Antonio Banderas, 
Catherine Zeta-Jones, 
Rufus Sewell, 
Alberto Reyes","/name/nm0000104/,/name/nm0001876/,/name/nm0001722/,/name/nm1642653/",103771.0,46464023.0
