movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt5884796,Plane,2023,R,107 min,"Action, Thriller",6.5,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,Jean-François Richet,/name/nm0724938/,"Gerard Butler, 
Mike Colter, 
Tony Goldwyn, 
Yoson An","/name/nm0124930/,/name/nm1591496/,/name/nm0001282/,/name/nm5256788/",26220.0,
tt12593682,Bullet Train,2022,R,127 min,"Action, Comedy, Thriller",7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,/name/nm0500610/,"Brad Pitt, 
Joey King, 
Aaron Taylor-Johnson, 
Brian Tyree Henry","/name/nm0000093/,/name/nm1428821/,/name/nm1093951/,/name/nm3109964/",293635.0,
tt7985704,Operation Fortune: Ruse de guerre,2023,R,114 min,"Action, Comedy, Thriller",6.7,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Guy Ritchie,/name/nm0005363/,"Jason Statham, 
Aubrey Plaza, 
Cary Elwes, 
Hugh Grant","/name/nm0005458/,/name/nm2201555/,/name/nm0000144/,/name/nm0000424/",10785.0,
tt4873118,The Covenant,2023,R,,"Action, Crime, Thriller",,"Follows Sergeant John, who on his last tour of duty in Afghanistan is teamed with local interpreter Ahmed, who risks his own life to carry an injured John across miles of grueling terrain to safety.",Guy Ritchie,/name/nm0005363/,"Jake Gyllenhaal, 
Alexander Ludwig, 
Antony Starr, 
Jonny Lee Miller","/name/nm0350453/,/name/nm1573253/,/name/nm1102278/,/name/nm0001538/",,
tt15829724,The Locksmith,2023,,92 min,"Action, Mystery, Thriller",4.6,"A thief fresh out of prison, tries to work his way back into the life of his daughter and ex-fiancé. Determined, he is forced to use the skills he has as a gifted locksmith. Things take a tumultuous turn after an unexpected disappearance.",Nicolas Harvard,/name/nm1189187/,"Kate Bosworth, 
Ryan Phillippe, 
Jeffrey Nordling, 
Ving Rhames","/name/nm0098378/,/name/nm0000202/,/name/nm0635139/,/name/nm0000609/",577.0,
tt10366206,John Wick: Chapter 4,2023,,169 min,"Action, Crime, Thriller",,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,/name/nm0821432/,"Keanu Reeves, 
Donnie Yen, 
Bill Skarsgård, 
Laurence Fishburne","/name/nm0000206/,/name/nm0947447/,/name/nm0803889/,/name/nm0000401/",,
tt13614388,Little Dixie,2023,R,105 min,"Action, Crime, Thriller",4.8,"Doc facilitates a fragile truce between the Governor and Cartel, trading prosecutorial leniency for finance. With no more truce, Doc is left to fend for himself and protect the one untainted thing in his life: his daughter, Little Dixie.",John Swab,/name/nm6461537/,"Frank Grillo, 
Annabeth Gish, 
Eric Dane, 
Mercedes Mason","/name/nm0342029/,/name/nm0001272/,/name/nm0199312/,/name/nm1997689/",356.0,
tt2911666,John Wick,2014,R,101 min,"Action, Crime, Thriller",7.4,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.,"Chad Stahelski, 
David Leitch",/name/nm0821432/,"Keanu Reeves, 
Michael Nyqvist, 
Alfie Allen, 
Willem Dafoe","/name/nm0500610/,/name/nm0000206/,/name/nm0638824/,/name/nm0654295/,/name/nm0000353/",644257.0,43037835.0
tt5433138,F9: The Fast Saga,2021,PG-13,143 min,"Action, Crime, Thriller",5.2,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,Justin Lin,/name/nm0510912/,"Vin Diesel, 
Michelle Rodriguez, 
Jordana Brewster, 
Tyrese Gibson","/name/nm0004874/,/name/nm0735442/,/name/nm0108287/,/name/nm0879085/",136715.0,173202780.0
tt1649418,The Gray Man,2022,PG-13,122 min,"Action, Thriller",6.5,"When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","Anthony Russo, 
Joe Russo",/name/nm0751577/,"Ryan Gosling, 
Chris Evans, 
Ana de Armas, 
Billy Bob Thornton","/name/nm0751648/,/name/nm0331516/,/name/nm0262635/,/name/nm1869101/,/name/nm0000671/",206972.0,
tt0232500,The Fast and the Furious,2001,PG-13,106 min,"Action, Crime, Thriller",6.8,Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,Rob Cohen,/name/nm0003418/,"Vin Diesel, 
Paul Walker, 
Michelle Rodriguez, 
Jordana Brewster","/name/nm0004874/,/name/nm0908094/,/name/nm0735442/,/name/nm0108287/",391178.0,144533925.0
tt3291150,The Expendables 4,2023,,,"Action, Adventure, Thriller",,The Expendables will square up against: an arms dealer who commands the might of a massive private army.,Scott Waugh,/name/nm0915304/,"Jason Statham, 
50 Cent, 
Megan Fox, 
Dolph Lundgren","/name/nm0005458/,/name/nm1265067/,/name/nm1083271/,/name/nm0000185/",,
tt2382320,No Time to Die,2021,PG-13,163 min,"Action, Adventure, Thriller",7.3,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Cary Joji Fukunaga,/name/nm1560977/,"Daniel Craig, 
Ana de Armas, 
Rami Malek, 
Léa Seydoux","/name/nm0185819/,/name/nm1869101/,/name/nm1785339/,/name/nm2244205/",409290.0,160869031.0
tt6723592,Tenet,2020,PG-13,150 min,"Action, Sci-Fi, Thriller",7.3,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Christopher Nolan,/name/nm0634240/,"John David Washington, 
Robert Pattinson, 
Elizabeth Debicki, 
Juhan Ulfsak","/name/nm0913475/,/name/nm1500155/,/name/nm4456120/,/name/nm1798449/",516824.0,58456624.0
tt6654210,Infinite,2021,PG-13,106 min,"Action, Sci-Fi, Thriller",5.4,A man discovers that his hallucinations are actually visions from past lives.,Antoine Fuqua,/name/nm0298807/,"Mark Wahlberg, 
Chiwetel Ejiofor, 
Sophie Cookson, 
Dylan O'Brien","/name/nm0000242/,/name/nm0252230/,/name/nm5824400/,/name/nm3729721/",53333.0,
tt6856242,The King's Man,2021,R,131 min,"Action, Adventure, Thriller",6.3,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.",Matthew Vaughn,/name/nm0891216/,"Ralph Fiennes, 
Gemma Arterton, 
Rhys Ifans, 
Harris Dickinson","/name/nm0000146/,/name/nm2605345/,/name/nm0406975/,/name/nm6170168/",151685.0,
tt0098206,Road House,1989,R,114 min,"Action, Thriller",6.6,A tough bouncer is hired to tame a dirty bar.,Rowdy Herrington,/name/nm0380705/,"Patrick Swayze, 
Kelly Lynch, 
Sam Elliott, 
Ben Gazzara","/name/nm0000664/,/name/nm0001488/,/name/nm0000385/,/name/nm0001262/",77537.0,30050028.0
tt0113189,GoldenEye,1995,PG-13,130 min,"Action, Adventure, Thriller",7.2,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.",Martin Campbell,/name/nm0132709/,"Pierce Brosnan, 
Sean Bean, 
Izabella Scorupco, 
Famke Janssen","/name/nm0000112/,/name/nm0000293/,/name/nm0001713/,/name/nm0000463/",260551.0,106600000.0
tt14714980,Poker Face,2022,,94 min,"Action, Crime, Thriller",5.1,"A tech billionaire hosts a high-stakes poker game between friends, but the evening takes a turn when long-held secrets are revealed, an elaborate revenge plot unfolds, and thieves break in.",Russell Crowe,/name/nm0000128/,"Russell Crowe, 
Liam Hemsworth, 
RZA, 
Aden Young","/name/nm0000128/,/name/nm2955013/,/name/nm0753526/,/name/nm0949237/",7206.0,
tt6146586,John Wick: Chapter 3 - Parabellum,2019,R,130 min,"Action, Crime, Thriller",7.4,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",Chad Stahelski,/name/nm0821432/,"Keanu Reeves, 
Halle Berry, 
Ian McShane, 
Laurence Fishburne","/name/nm0000206/,/name/nm0000932/,/name/nm0574534/,/name/nm0000401/",352539.0,171015687.0
tt4912910,Mission: Impossible - Fallout,2018,PG-13,147 min,"Action, Adventure, Thriller",7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,/name/nm0003160/,"Tom Cruise, 
Henry Cavill, 
Ving Rhames, 
Simon Pegg","/name/nm0000129/,/name/nm0147147/,/name/nm0000609/,/name/nm0670408/",338316.0,220159104.0
tt0111503,True Lies,1994,R,141 min,"Action, Comedy, Thriller",7.3,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",James Cameron,/name/nm0000116/,"Arnold Schwarzenegger, 
Jamie Lee Curtis, 
Tom Arnold, 
Bill Paxton","/name/nm0000216/,/name/nm0000130/,/name/nm0000792/,/name/nm0000200/",264372.0,146282411.0
tt11083552,Wrath of Man,2021,R,119 min,"Action, Crime, Thriller",7.1,A cold and mysterious character working at a cash truck company responsible for moving a lot of money around Los Angeles each week.,Guy Ritchie,/name/nm0005363/,"Jason Statham, 
Holt McCallany, 
Josh Hartnett, 
Rocci Boy Williams","/name/nm0005458/,/name/nm0564697/,/name/nm0001326/,/name/nm6875258/",183120.0,
tt2873282,Red Sparrow,2018,R,140 min,"Action, Drama, Thriller",6.6,"Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",Francis Lawrence,/name/nm1349376/,"Jennifer Lawrence, 
Joel Edgerton, 
Matthias Schoenaerts, 
Charlotte Rampling","/name/nm2225369/,/name/nm0249291/,/name/nm0774386/,/name/nm0001648/",189790.0,46874505.0
tt4425200,John Wick: Chapter 2,2017,R,122 min,"Action, Crime, Thriller",7.4,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",Chad Stahelski,/name/nm0821432/,"Keanu Reeves, 
Riccardo Scamarcio, 
Ian McShane, 
Ruby Rose","/name/nm0000206/,/name/nm1249052/,/name/nm0574534/,/name/nm3199307/",441113.0,92029184.0
tt9603212,Mission: Impossible - Dead Reckoning - Part One,2023,,,"Action, Adventure, Thriller",,Seventh entry in the long-running Mission: Impossible series.,Christopher McQuarrie,/name/nm0003160/,"Tom Cruise, 
Rebecca Ferguson, 
Vanessa Kirby, 
Hayley Atwell","/name/nm0000129/,/name/nm0272581/,/name/nm3948952/,/name/nm2017943/",,
tt0381061,Casino Royale,2006,PG-13,144 min,"Action, Adventure, Thriller",8.0,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Martin Campbell,/name/nm0132709/,"Daniel Craig, 
Eva Green, 
Judi Dench, 
Jeffrey Wright","/name/nm0185819/,/name/nm1200692/,/name/nm0001132/,/name/nm0942482/",664141.0,167445960.0
tt12530246,Emancipation,2022,R,132 min,"Action, Thriller",6.1,A runaway slave forges through the swamps of Louisiana on a tortuous journey to escape plantation owners that nearly killed him.,Antoine Fuqua,/name/nm0298807/,"Will Smith, 
Ben Foster, 
Charmaine Bingwa, 
Gilbert Owuor","/name/nm0000226/,/name/nm0004936/,/name/nm6192439/,/name/nm4114489/",20187.0,
tt15163652,Thunivu,2023,,146 min,"Action, Adventure, Thriller",6.3,A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money.,H. Vinoth,/name/nm6474441/,"Ajith Kumar, 
Manju Warrier, 
Samuthirakani, 
John Kokken","/name/nm0015001/,/name/nm0913097/,/name/nm2284321/,/name/nm4071279/",24822.0,
tt1488606,Triple Frontier,2019,R,125 min,"Action, Thriller",6.4,"Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.",J.C. Chandor,/name/nm1170855/,"Ben Affleck, 
Oscar Isaac, 
Charlie Hunnam, 
Garrett Hedlund","/name/nm0000255/,/name/nm1209966/,/name/nm0402271/,/name/nm1330560/",132289.0,
tt0455944,The Equalizer,2014,R,132 min,"Action, Crime, Thriller",7.2,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,Antoine Fuqua,/name/nm0298807/,"Denzel Washington, 
Marton Csokas, 
Chloë Grace Moretz, 
David Harbour","/name/nm0000243/,/name/nm0190744/,/name/nm1631269/,/name/nm1092086/",377799.0,101530738.0
tt0117500,The Rock,1996,R,136 min,"Action, Adventure, Thriller",7.4,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",Michael Bay,/name/nm0000881/,"Sean Connery, 
Nicolas Cage, 
Ed Harris, 
John Spencer","/name/nm0000125/,/name/nm0000115/,/name/nm0000438/,/name/nm0817983/",342892.0,134069511.0
tt0062512,You Only Live Twice,1967,PG,117 min,"Action, Adventure, Thriller",6.8,"James Bond and the Japanese Secret Service must find and stop the true culprit of a series of space hijackings, before war is provoked between Russia and the United States.",Lewis Gilbert,/name/nm0318150/,"Sean Connery, 
Akiko Wakabayashi, 
Mie Hama, 
Tetsurô Tanba","/name/nm0000125/,/name/nm0906686/,/name/nm0357240/,/name/nm0848533/",111800.0,43084787.0
tt0117060,Mission: Impossible,1996,PG-13,110 min,"Action, Adventure, Thriller",7.1,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",Brian De Palma,/name/nm0000361/,"Tom Cruise, 
Jon Voight, 
Emmanuelle Béart, 
Henry Czerny","/name/nm0000129/,/name/nm0000685/,/name/nm0000322/,/name/nm0001089/",432805.0,180981856.0
tt0822854,Shooter,2007,R,124 min,"Action, Drama, Thriller",7.1,"A marksman living in exile is coaxed back into action after hearing of a plot to kill the President. After being-double crossed for the attempt and on the run, he sets out for the real killer and the truth.",Antoine Fuqua,/name/nm0298807/,"Mark Wahlberg, 
Michael Peña, 
Rhona Mitra, 
Danny Glover","/name/nm0000242/,/name/nm0671567/,/name/nm0593961/,/name/nm0000418/",338464.0,47003582.0
tt0057076,From Russia with Love,1963,PG,115 min,"Action, Adventure, Thriller",7.4,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,Terence Young,/name/nm0950109/,"Sean Connery, 
Robert Shaw, 
Lotte Lenya, 
Daniela Bianchi","/name/nm0000125/,/name/nm0001727/,/name/nm0502322/,/name/nm0000938/",137609.0,24796765.0
tt0790724,Jack Reacher,2012,PG-13,130 min,"Action, Mystery, Thriller",7.0,A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,Christopher McQuarrie,/name/nm0003160/,"Tom Cruise, 
Rosamund Pike, 
Richard Jenkins, 
Werner Herzog","/name/nm0000129/,/name/nm0683253/,/name/nm0420955/,/name/nm0001348/",346299.0,80070736.0
tt0058150,Goldfinger,1964,PG,110 min,"Action, Adventure, Thriller",7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Guy Hamilton,/name/nm0357891/,"Sean Connery, 
Gert Fröbe, 
Honor Blackman, 
Shirley Eaton","/name/nm0000125/,/name/nm0002085/,/name/nm0000303/,/name/nm0247881/",193468.0,51081062.0
